0 0 -350 1.00095
1 0 -350 1.00539
2 0 -350 1.00223
3 0 -350 0.997394
4 0 -350 1.00432
5 0 -350 1.00559
6 0 -350 0.992659
7 0 -350 0.998459
0 1 -350 0.999583
1 1 -350 0.997936
2 1 -350 0.999548
3 1 -350 0.997638
4 1 -350 1.00047
5 1 -350 1.00596
6 1 -350 0.9963
7 1 -350 0.997374
0 2 -350 0.996628
1 2 -350 0.998329
2 2 -350 1.00194
3 2 -350 0.997678
4 2 -350 0.999831
5 2 -350 1.00052
6 2 -350 1.00032
7 2 -350 0.998319
0 3 -350 0.999563
1 3 -350 1.0027
2 3 -350 0.999413
3 3 -350 1.0021
4 3 -350 1.00394
5 3 -350 1.00146
6 3 -350 0.999961
7 3 -350 0.996728
0 4 -350 0.996996
1 4 -350 1.00095
2 4 -350 0.996355
3 4 -350 0.997519
4 4 -350 1.00013
5 4 -350 1.00452
6 4 -350 1
7 4 -350 0.995007
0 5 -350 0.997822
1 5 -350 0.9992
2 5 -350 1.00043
3 5 -350 0.999319
4 5 -350 1.00071
5 5 -350 1.00282
6 5 -350 1.00093
7 5 -350 1.00102
0 6 -350 0.999195
1 6 -350 0.999612
2 6 -350 1.00466
3 6 -350 1.00072
4 6 -350 0.999682
5 6 -350 0.997404
6 6 -350 0.995609
7 6 -350 0.997543
0 7 -350 1.00043
1 7 -350 1.00318
2 7 -350 1.00078
3 7 -350 0.996718
4 7 -350 0.998996
5 7 -350 1.00081
6 7 -350 0.999742
7 7 -350 0.995474
