"Velocities","Coverage0","Coverage1","Coverage2","Coverage3","Coverage4","Coverage5","Coverage6","Coverage7","Coverage8","Coverage9","Coverage10","Coverage11","Points:0","Points:1","Points:2"
0.42282,0.00097649,4.8336e-06,2.4616e-05,0.99646,0.0035184,0.97649,0.99612,0.99743,0.99743,1.9783e-05,0.0025468,0,0.01,2.3938,1.4
0.42238,0.00097548,4.8303e-06,2.462e-05,0.99646,0.0035182,0.97548,0.99612,0.99743,0.99743,1.979e-05,0.0025476,0,0.01,2.3938,1.41
0.41562,0.00095987,4.7933e-06,2.4809e-05,0.99645,0.0035268,0.95987,0.99612,0.99741,0.99741,2.0016e-05,0.0025717,0,0.01,2.3938,1.6
0.41587,0.00096043,4.7971e-06,2.4819e-05,0.99645,0.003528,0.96043,0.99611,0.99741,0.99741,2.0022e-05,0.0025724,0,0.01,2.3938,1.61
0.41954,0.00096892,4.8755e-06,2.5097e-05,0.99642,0.0035576,0.96891,0.99606,0.99739,0.99739,2.0221e-05,0.0025935,0,0.01,2.3938,1.8
0.41964,0.00096916,4.8774e-06,2.5103e-05,0.99642,0.0035583,0.96915,0.99606,0.99739,0.99739,2.0226e-05,0.002594,0,0.01,2.3938,1.81
0.41776,0.00096481,4.8646e-06,2.5141e-05,0.99642,0.0035593,0.96481,0.99603,0.99738,0.99738,2.0276e-05,0.0025994,0,0.01,2.3938,2
0.41756,0.00096434,4.8631e-06,2.5144e-05,0.99642,0.0035593,0.96434,0.99603,0.99738,0.99738,2.028e-05,0.0025999,0,0.01,2.3938,2.01
0.41806,0.0009655,4.8761e-06,2.5196e-05,0.99641,0.0035647,0.9655,0.99599,0.99738,0.99738,2.032e-05,0.0026041,0,0.01,2.3938,2.2
0.41828,0.00096601,4.8798e-06,2.5207e-05,0.99641,0.0035659,0.96601,0.99598,0.99737,0.99737,2.0327e-05,0.0026048,0,0.01,2.3938,2.21
0.42124,0.00097284,4.948e-06,2.5461e-05,0.99638,0.0035924,0.97284,0.99598,0.99735,0.99735,2.0513e-05,0.0026245,0,0.01,2.3938,2.4
0.42115,0.00097263,4.9486e-06,2.547e-05,0.99638,0.0035932,0.97263,0.99598,0.99735,0.99735,2.0522e-05,0.0026255,0,0.01,2.3938,2.41
0.42373,0.0009786,5.0119e-06,2.5715e-05,0.99636,0.0036183,0.9786,0.99593,0.99733,0.99733,2.0703e-05,0.0026447,0,0.01,2.3938,2.6
0.42386,0.0009789,5.0153e-06,2.5729e-05,0.99635,0.0036197,0.9789,0.99593,0.99733,0.99733,2.0713e-05,0.0026458,0,0.01,2.3938,2.61
0.42176,0.00097405,5.0324e-06,2.598e-05,0.99633,0.0036395,0.97405,0.99591,0.99731,0.99731,2.0948e-05,0.0026705,0,0.01,2.3938,2.8
0.42163,0.00097374,5.0319e-06,2.5985e-05,0.99633,0.0036398,0.97374,0.99591,0.99731,0.99731,2.0953e-05,0.0026711,0,0.01,2.3938,2.81
0.41891,0.00096745,5.0288e-06,2.6148e-05,0.99632,0.003651,0.96745,0.99581,0.99729,0.99729,2.1119e-05,0.0026886,0,0.01,2.3938,3
0.41878,0.00096716,5.0291e-06,2.6157e-05,0.99632,0.0036517,0.96716,0.99581,0.99729,0.99729,2.1128e-05,0.0026896,0,0.01,2.3938,3.01
0.41851,0.00096653,5.0607e-06,2.6386e-05,0.9963,0.0036718,0.96653,0.9958,0.99727,0.99727,2.1325e-05,0.0027103,0,0.01,2.3938,3.2
