Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.00168485;0.00291147;0;0;0;0;0;0.000862556;0;0;0;0;0.00301529;0;4.79631e-08;0.00847478;0.0084749;0.025192;1.10324;28.8968
0.00168594;0.00291773;0;0;0;0;0;0.000855154;0;0;0;0;0.00393053;0;4.79631e-08;0.00938989;0.00939001;0.025561;1.1288;28.8712
0.00164775;0.00289328;0;0;0;0;0;0.000851354;0;0;0;0;0.00333334;0;4.80795e-08;0.00872619;0.0087263;0.0259222;1.15473;28.8453
0.00180302;0.00290157;0;0;0;0;0;0.000858229;0;0;0;0;0.00320749;0;4.20259e-08;0.00877084;0.00877096;0.0262754;1.181;28.819
0.00169017;0.00290375;0;0;0;0;0;0.000853709;0;0;0;0;0.00311671;0;4.80795e-08;0.00856484;0.00856497;0.0266201;1.20762;28.7924
0.00169176;0.00290504;0;0;0;0;0;0.000857091;0;0;0;0;0.00310762;0;4.79631e-08;0.00856198;0.00856211;0.0269563;1.23458;28.7654
0.00166078;0.0029405;0;0;0;0;0;0.000853202;0;0;0;0;0.00328624;0;4.79631e-08;0.00874121;0.00874134;0.0272837;1.26186;28.7381
0.00177053;0.00291105;0;0;0;0;0;0.000854847;0;0;0;0;0.00335476;0;4.80795e-08;0.00889172;0.00889184;0.0276022;1.28946;28.7105
0.00234623;0.00291588;0;0;0;0;0;0.000856613;0;0;0;0;0.0030903;0;4.20259e-08;0.00920954;0.00920965;0.0255372;1.315;28.685
0.00168735;0.00291225;0;0;0;0;0;0.000853309;0;0;0;0;0.00298843;0;5.11063e-08;0.00844196;0.00844209;0.0257964;1.3408;28.6592
0.00165587;0.00289769;0;0;0;0;0;0.000859007;0;0;0;0;0.00305789;0;5.09899e-08;0.00847103;0.00847116;0.0260512;1.36685;28.6332
0.00170631;0.00291377;0;0;0;0;0;0.000854415;0;0;0;0;0.00381458;0;4.79631e-08;0.00928957;0.0092897;0.0263038;1.39315;28.6068
0.00166691;0.00289658;0;0;0;0;0;0.00084973;0;0;0;0;0.00297234;0;4.50527e-08;0.00838615;0.00838628;0.0265539;1.41971;28.5803
0.00178954;0.00292385;0;0;0;0;0;0.000849172;0;0;0;0;0.00393364;0;4.79631e-08;0.00949705;0.00949718;0.0267728;1.44648;28.5535
0.0021181;0.00290667;0;0;0;0;0;0.000849958;0;0;0;0;0.0030195;0;4.50527e-08;0.00889474;0.00889487;0.0269343;1.47341;28.5266
0.00163231;0.0029155;0;0;0;0;0;0.000850968;0;0;0;0;0.00294555;0;4.79631e-08;0.0083448;0.00834493;0.0270925;1.50051;28.4995
0.00249762;0.00288084;0;0;0;0;0;0.000847223;0;0;0;0;0.00299431;0;4.79631e-08;0.00922048;0.00922062;0.0272475;1.52775;28.4722
0.00164963;0.00287469;0;0;0;0;0;0.000848874;0;0;0;0;0.00375954;0;4.79631e-08;0.0091332;0.00913334;0.0273992;1.55515;28.4448
0.00164856;0.00288755;0;0;0;0;0;0.000844487;0;0;0;0;0.00298882;0;4.79631e-08;0.00836995;0.00837008;0.0239894;1.57914;28.4209
0.00168002;0.00297484;0;0;0;0;0;0.000854208;0;0;0;0;0.00297868;0;4.20259e-08;0.00848825;0.00848837;0.0243198;1.60346;28.3965
0.00163481;0.00288334;0;0;0;0;0;0.000850595;0;0;0;0;0.0049816;0;4.20259e-08;0.0103508;0.010351;0.0246432;1.6281;28.3719
0.00165157;0.00288035;0;0;0;0;0;0.000847336;0;0;0;0;0.00314221;0;4.19095e-08;0.00852198;0.0085221;0.0249594;1.65306;28.3469
0.00165082;0.0029872;0;0;0;0;0;0.000845612;0;0;0;0;0.00372674;0;4.90109e-08;0.00921087;0.00921099;0.0252684;1.67833;28.3217
0.00165807;0.00290157;0;0;0;0;0;0.000851962;0;0;0;0;0.00296044;0;4.79631e-08;0.00837255;0.00837268;0.0255702;1.7039;28.2961
0.00212049;0.00289383;0;0;0;0;0;0.00084924;0;0;0;0;0.00295386;0;4.79631e-08;0.00881793;0.00881806;0.0258648;1.72977;28.2702
