Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
1707;2442;2442;16742;6828;3332;5.02461
1709;2444;2444;16742;6836;3332;5.02461
1780;2516;2516;16814;7120;3332;5.04622
1752;2436;2436;16416;7008;3332;4.92677
1721;2345;2345;15986;6884;3332;4.79772
1723;2473;2473;17024;6892;3332;5.10924
1719;2462;2462;16950;6876;3332;5.08703
1714;2456;2456;16944;6856;3332;5.08523
1714;2456;2456;16944;6856;3332;5.08523
1710;2447;2447;16902;6840;3332;5.07263
1713;2454;2454;16936;6852;3332;5.08283
1714;2458;2458;16952;6856;3332;5.08764
1713;2451;2451;16898;6852;3332;5.07143
1712;2450;2450;16898;6848;3332;5.07143
1898;2612;2612;17044;7592;3332;5.11525
1728;2378;2378;16176;6912;3332;4.85474
1718;2351;2351;16042;6872;3332;4.81453
1716;2328;2328;15892;6864;3332;4.76951
1715;2324;2324;15868;6860;3332;4.7623
1714;2429;2429;16136;6856;3332;4.84274
1713;2426;2426;16130;6852;3332;4.84094
1711;2424;2424;16118;6844;3332;4.83733
1712;2421;2421;16098;6848;3332;4.83133
1712;2421;2421;16102;6848;3332;4.83253
1716;2426;2426;16108;6864;3332;4.83433
1724;2435;2435;16126;6896;3332;4.83974
1894;2620;2620;17184;7576;3332;5.15726
1724;2351;2351;15542;6896;3332;4.66447
1720;2331;2331;15408;6880;3332;4.62425
1720;2325;2325;15372;6880;3332;4.61345
1717;2297;2297;15212;6868;3332;4.56543
1715;2296;2296;15212;6860;3332;4.56543
1714;2296;2296;15226;6856;3332;4.56963
1711;2286;2286;15172;6844;3332;4.55342
1714;2425;2425;16194;6856;3332;4.86014
1713;2422;2422;16176;6852;3332;4.85474
1717;2428;2428;16200;6868;3332;4.86194
1872;2576;2576;16492;7488;3332;4.94958
1745;2387;2387;15752;6980;3332;4.72749
1722;2351;2351;15624;6888;3332;4.68908
1723;2330;2330;15464;6892;3332;4.64106
1720;2301;2301;15290;6880;3332;4.58884
1717;2300;2300;15296;6868;3332;4.59064
1714;2294;2294;15282;6856;3332;4.58643
1712;2286;2286;15248;6848;3332;4.57623
1711;2289;2289;15264;6844;3332;4.58103
1713;2423;2423;16248;6852;3332;4.87635
1716;2427;2427;16252;6864;3332;4.87755
1796;2508;2508;16442;7184;3332;4.93457
1796;2507;2507;16356;7184;3332;4.90876
1734;2364;2364;15704;6936;3332;4.71309
1726;2355;2355;15704;6904;3332;4.71309
1724;2333;2333;15540;6896;3332;4.66387
1722;2301;2301;15364;6888;3332;4.61104
1721;2304;2304;15378;6884;3332;4.61525
1719;2300;2300;15366;6876;3332;4.61164
1717;2297;2297;15362;6868;3332;4.61044
1718;2428;2428;16332;6872;3332;4.90156
1718;2428;2428;16332;6872;3332;4.90156
1718;2428;2428;16332;6872;3332;4.90156
1894;2591;2591;16632;7576;3332;4.9916
1748;2370;2370;15770;6992;3332;4.73289
1729;2354;2354;15760;6916;3332;4.72989
1729;2357;2357;15754;6916;3332;4.72809
1728;2335;2335;15606;6912;3332;4.68367
1725;2306;2306;15440;6900;3332;4.63385
