Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.00140783;0.00040003;0.00010424;0;0;0;0;0;0.000837352;0.00157979;0.309777;146372;0.00105944;0;9.90112e-08;0.315171;0.315247;0.00639885;0.211039;79.789
0.00121878;0.000366162;0.000103673;0;0;0;0;0;0.000756923;0.00150761;0.297878;146372;0.00110469;0;1.67987e-07;0.302942;0.302999;0.00675874;0.217798;79.7822
0.00121689;0.000359751;0.000104267;0;0;0;0;0;0.000753121;0.00155929;0.291814;147208;0.00104041;0;6.89761e-08;0.296851;0.296913;0.00661516;0.224413;79.7756
0.00130628;0.000363487;0.000102883;0;0;0;0;0;0.000759908;0.00144868;0.288985;139696;0.00107437;0;8.40519e-08;0.294046;0.294095;0.00649134;0.230905;79.7691
0.00128417;0.000386118;0.000104381;0;0;0;0;0;0.00075122;0.00145504;0.290212;139696;0.00112374;0;4.59841e-08;0.295321;0.295377;0.00691002;0.237815;79.7622
0.0013496;0.00056643;0.000138184;0;0;0;0;0;0.000814685;0.00155996;0.324333;139484;0.0242501;0;1.0198e-07;0.353018;0.353072;0.00520997;0.243025;79.757
0.00124496;0.000372361;0.000106511;0;0;0;0;0;0.000748685;0.00145409;0.316387;139356;0.00104943;0;8.801e-08;0.321368;0.321425;0.00523117;0.248256;79.7517
0.00124995;0.000372988;0.000102922;0;0;0;0;0;0.000760484;0.00144458;0.291533;139232;0.00105693;0;1.56986e-07;0.296526;0.296593;0.00602498;0.254281;79.7457
0.00133274;0.00036561;0.000102604;0;0;0;0;0;0.000764339;0.00150406;0.307183;147480;0.00108155;0;1.60013e-07;0.312339;0.312399;0.00651827;0.260799;79.7392
0.00127058;0.000367591;0.000103039;0;0;0;0;0;0.00214373;0.00153437;0.314134;147680;0.00107687;0;5.09899e-08;0.320637;0.32073;0.0067773;0.267576;79.7324
0.00125149;0.000365309;0.000110271;0;0;0;0;0;0.000751931;0.00150998;0.293827;147644;0.00105417;0;7.79983e-08;0.298876;0.298943;0.00617894;0.273755;79.7262
0.0012416;0.000364541;0.000103354;0;0;0;0;0;0.000748283;0.00149249;0.307118;147644;0.00105767;0;8.09669e-08;0.312131;0.312188;0.006841;0.280596;79.7194
0.00124685;0.00037116;0.000103829;0;0;0;0;0;0.000750514;0.0014993;0.294197;147716;0.00106616;0;8.39937e-08;0.29924;0.299298;0.00682931;0.287426;79.7126
